"iso","start_row","end_row","start_col","end_col","xmin_bounding","xmax_bounding","ymin_bounding","ymax_bounding"
"abw",774,777,1100,1102,-70.1,-69.8,12.3,12.7
"afg",516,607,2406,2549,60.5,74.9,29.3,38.5
"ago",944,1081,1917,2041,11.6,24.1,-18.1,-4.3
"aia",714,719,1166,1171,-63.5,-62.9,18.1,18.7
"alb",474,504,1993,2011,19.2,21.1,39.6,42.7
"and",474,476,1815,1818,1.4,1.8,42.4,42.7
"are",640,675,2312,2365,51.1,56.5,22.5,26.1
"arg",1118,1451,1065,1265,-73.6,-53.5,-55.1,-21.7
"arm",488,512,2235,2266,43.4,46.6,38.8,41.3
"asm",1011,1047,90,119,-171.1,-168.1,-14.7,-11
"atg",723,731,1181,1184,-62,-61.6,16.9,17.8
"aus",992,1338,2768,3392,96.7,159.2,-43.8,-9.1
"aut",411,437,1896,1972,9.5,17.2,46.3,49
"aze",481,516,2248,2307,44.7,50.7,38.4,42
"bdi",924,945,2091,2109,29,30.9,-4.5,-2.3
"bel",386,405,1826,1864,2.5,6.4,49.5,51.5
"ben",776,838,1808,1839,0.7,3.9,6.2,12.5
"bes",724,780,1116,1171,-68.5,-62.9,12,17.7
"bfa",750,806,1745,1825,-5.6,2.5,9.4,15.1
"bgd",634,695,2681,2727,88,92.7,20.5,26.7
"bgr",458,488,2024,2087,22.3,28.7,41.2,44.3
"bhr",638,643,2304,2308,50.3,50.8,25.7,26.3
"bhs",628,692,1004,1073,-79.7,-72.7,20.8,27.3
"bih",448,476,1958,1997,15.7,19.7,42.4,45.3
"blr",339,388,2033,2128,23.2,32.8,51.2,56.2
"blz",716,742,908,926,-89.3,-87.4,15.8,18.5
"bmu",576,578,1151,1154,-65,-64.6,32.2,32.5
"bol",997,1129,1104,1225,-69.7,-57.5,-22.9,-9.6
"bra",848,1238,1061,1512,-74,-28.8,-33.8,5.3
"brb",767,770,1204,1206,-59.7,-59.4,13,13.4
"brn",850,860,2943,2954,114.2,115.4,4,5.1
"btn",617,633,2688,2722,88.7,92.2,26.7,28.4
"bwa",1078,1169,2001,2094,20,29.4,-26.9,-17.7
"caf",791,878,1945,2075,14.4,27.5,2.2,11
"can",69,484,391,1275,-141,-52.5,41.6,83.2
"che",423,442,1861,1905,6,10.5,45.8,47.8
"chl",1076,1458,1043,1130,-75.8,-67,-55.8,-17.5
"chn",365,718,2536,3148,73.5,134.8,18.2,53.6
"civ",793,857,1715,1775,-8.6,-2.5,4.3,10.8
"cmr",771,884,1885,1962,8.4,16.2,1.6,13
"cod",847,1035,1923,2113,12.2,31.3,-13.5,5.4
"cog",863,951,1913,1987,11.2,18.7,-5.1,3.8
"cok",1001,1120,141,228,-166,-157.2,-22,-10
"col",766,943,983,1132,-81.8,-66.8,-4.3,13.5
"com",1014,1025,2233,2246,43.2,44.6,-12.5,-11.3
"cpv",728,753,1547,1574,-25.4,-22.6,14.7,17.3
"cri",788,820,941,975,-86,-82.5,8,11.3
"cub",668,703,951,1059,-85,-74.1,19.7,23.3
"cuw",776,781,1109,1114,-69.2,-68.6,11.9,12.5
"cym",703,708,986,1003,-81.5,-79.7,19.2,19.8
"cyp",543,555,2123,2147,32.2,34.7,34.5,35.8
"cze",390,415,1922,1989,12.1,18.9,48.5,51.1
"deu",350,428,1859,1951,5.8,15.1,47.2,55.1
"dji",773,791,2218,2235,41.7,43.5,10.9,12.8
"dma",744,749,1186,1188,-61.5,-61.2,15.1,15.7
"dnk",323,355,1881,1953,8,15.3,54.5,57.8
"dom",701,725,1081,1118,-72,-68.2,17.5,20
"dza",529,711,1714,1920,-8.7,12,18.9,37.2
"ecu",884,950,880,1048,-92.1,-75.2,-5,1.7
"egy",584,683,2048,2159,24.7,35.9,21.7,31.7
"eri",721,777,2165,2232,36.4,43.2,12.3,18
"esh",624,693,1629,1714,-17.2,-8.6,20.7,27.7
"esp",463,624,1619,1844,-18.2,4.4,27.6,43.8
"est",302,325,2018,2083,21.7,28.3,57.5,59.9
"eth",752,866,2131,2280,33,48,3.4,14.9
"fin",200,303,1993,2116,19.2,31.6,59.7,70.1
"fji",1025,1111,1,3600,-180,180,-21.1,-12.4
"flk",1411,1430,1187,1223,-61.4,-57.7,-53,-51
"fra",389,487,1749,1896,-5.2,9.6,41.3,51.2
"fro",276,287,1723,1738,-7.8,-6.2,61.3,62.5
"fsm",800,848,3181,3431,138,163.1,5.2,10.1
"gab",877,940,1887,1945,8.6,14.5,-4,2.4
"gbr",292,402,1714,1818,-8.7,1.8,49.8,60.9
"geo",465,490,2201,2268,40,46.8,41,43.6
"ggy",403,407,1773,1779,-2.8,-2.1,49.3,49.8
"gha",789,853,1768,1813,-3.3,1.3,4.7,11.2
"gib",539,540,1747,1747,-5.4,-5.3,36,36.2
"gin",774,828,1649,1724,-15.2,-7.6,7.2,12.7
"glp",719,743,1169,1190,-63.2,-61,15.7,18.2
"gmb",762,770,1632,1663,-16.9,-13.7,13,13.9
"gnb",774,792,1634,1664,-16.7,-13.6,10.8,12.7
"gnq",863,915,1856,1914,5.5,11.4,-1.5,3.8
"grc",483,553,1994,2097,19.3,29.7,34.7,41.8
"grd",777,781,1182,1185,-61.9,-61.5,11.9,12.4
"grl",64,303,1068,1688,-73.3,-11.2,59.7,83.7
"gtm",722,763,878,918,-92.3,-88.2,13.7,17.9
"guf",843,879,1256,1284,-54.5,-51.6,2.1,5.8
"gum",764,768,3246,3250,144.5,145,13.2,13.7
"guy",816,889,1187,1235,-61.4,-56.5,1.1,8.5
"hkg",675,679,2939,2945,113.8,114.5,22.1,22.6
"hnd",735,770,907,969,-89.4,-83.1,13,16.6
"hrv",435,477,1935,1995,13.4,19.5,42.3,46.6
"hti",700,720,1056,1084,-74.5,-71.6,18,20.1
"hun",415,443,1962,2029,16.1,22.9,45.7,48.6
